route_id,trip_id,actual_arrival_delay_min,delay_risk,recommended_action,weather_condition,traffic_congestion_index
Route_16,T00071,24,High,Adjust service headway,Clear,70
Route_12,T00072,7,Medium,Monitor route conditions,Fog,81
Route_15,T00073,29,Severe,Deploy standby bus,Clear,1
Route_10,T00074,20,High,Adjust service headway,Clear,9
Route_7,T00075,-2,Low,No operational action required,Storm,1
Route_20,T00076,26,Severe,Deploy standby bus,Snow,59
Route_5,T00077,13,Medium,Monitor route conditions,Rain,44
Route_1,T00078,18,High,Adjust service headway,Rain,7
Route_17,T00079,1,Low,No operational action required,Rain,57
Route_3,T00080,12,Medium,Monitor route conditions,Clear,6
Route_13,T00081,9,Medium,Monitor route conditions,Storm,98
Route_14,T00082,22,High,Adjust service headway,Rain,86
Route_18,T00083,27,Severe,Deploy standby bus,Cloudy,71
Route_4,T00084,19,High,Adjust service headway,Cloudy,20
Route_18,T00085,8,Medium,Monitor route conditions,Cloudy,96
Route_5,T00086,10,Medium,Monitor route conditions,Fog,46
Route_16,T00087,14,Medium,Monitor route conditions,Storm,0
Route_1,T00088,23,High,Adjust service headway,Clear,11
Route_14,T00089,24,High,Adjust service headway,Clear,74
Route_15,T00090,14,Medium,Monitor route conditions,Storm,47
Route_9,T00091,12,Medium,Monitor route conditions,Snow,93
Route_15,T00092,12,Medium,Monitor route conditions,Snow,3
Route_17,T00093,9,Medium,Monitor route conditions,Fog,33
Route_4,T00094,25,High,Adjust service headway,Storm,86
Route_12,T00095,5,Low,No operational action required,Snow,31
Route_5,T00096,22,High,Adjust service headway,Fog,2
Route_5,T00097,24,High,Adjust service headway,Rain,91
Route_11,T00098,9,Medium,Monitor route conditions,Rain,67
Route_6,T00099,5,Low,No operational action required,Fog,56
Route_7,T00100,10,Medium,Monitor route conditions,Storm,75
Route_14,T00101,8,Medium,Monitor route conditions,Rain,23
Route_11,T00102,28,Severe,Deploy standby bus,Storm,32
Route_13,T00103,-1,Low,No operational action required,Snow,2
Route_2,T00104,12,Medium,Monitor route conditions,Rain,3
Route_7,T00105,16,High,Adjust service headway,Snow,29
Route_20,T00106,28,Severe,Deploy standby bus,Storm,69
Route_4,T00107,19,High,Adjust service headway,Storm,48
Route_8,T00108,13,Medium,Monitor route conditions,Cloudy,29
Route_20,T00109,12,Medium,Monitor route conditions,Fog,71
Route_19,T00110,4,Low,No operational action required,Clear,81
Route_13,T00111,15,Medium,Monitor route conditions,Fog,15
Route_14,T00112,26,Severe,Deploy standby bus,Storm,52
Route_10,T00113,10,Medium,Monitor route conditions,Storm,5
Route_11,T00114,18,High,Adjust service headway,Fog,23
Route_2,T00115,13,Medium,Monitor route conditions,Storm,91
Route_9,T00116,11,Medium,Monitor route conditions,Snow,95
Route_17,T00117,28,Severe,Deploy standby bus,Rain,88
Route_3,T00118,9,Medium,Monitor route conditions,Storm,27
Route_6,T00119,17,High,Adjust service headway,Fog,20
Route_5,T00120,29,Severe,Deploy standby bus,Fog,7
Route_5,T00121,23,High,Adjust service headway,Fog,35
Route_15,T00122,12,Medium,Monitor route conditions,Cloudy,8
Route_17,T00123,24,High,Adjust service headway,Snow,39
Route_9,T00124,-3,Low,No operational action required,Snow,84
Route_3,T00125,27,Severe,Deploy standby bus,Cloudy,50
Route_20,T00126,29,Severe,Deploy standby bus,Snow,0
Route_17,T00127,29,Severe,Deploy standby bus,Cloudy,62
Route_10,T00128,14,Medium,Monitor route conditions,Snow,67
Route_3,T00129,19,High,Adjust service headway,Cloudy,73
Route_18,T00130,19,High,Adjust service headway,Cloudy,25
Route_18,T00131,11,Medium,Monitor route conditions,Snow,39
Route_17,T00132,22,High,Adjust service headway,Cloudy,2
Route_3,T00133,26,Severe,Deploy standby bus,Snow,8
Route_3,T00134,21,High,Adjust service headway,Cloudy,31
Route_6,T00135,12,Medium,Monitor route conditions,Fog,66
Route_13,T00136,10,Medium,Monitor route conditions,Clear,3
Route_15,T00137,13,Medium,Monitor route conditions,Snow,5
Route_9,T00138,8,Medium,Monitor route conditions,Cloudy,72
Route_4,T00139,25,High,Adjust service headway,Fog,25
Route_14,T00140,28,Severe,Deploy standby bus,Clear,1
Route_5,T00141,20,High,Adjust service headway,Cloudy,65
Route_2,T00142,9,Medium,Monitor route conditions,Clear,84
Route_11,T00143,16,High,Adjust service headway,Snow,85
Route_9,T00144,11,Medium,Monitor route conditions,Clear,2
Route_3,T00145,0,Low,No operational action required,Rain,34
Route_9,T00146,24,High,Adjust service headway,Storm,58
Route_3,T00147,-2,Low,No operational action required,Rain,37
Route_2,T00148,26,Severe,Deploy standby bus,Snow,32
Route_12,T00149,22,High,Adjust service headway,Snow,14
Route_10,T00150,22,High,Adjust service headway,Clear,74
Route_9,T00151,16,High,Adjust service headway,Fog,73
Route_15,T00152,24,High,Adjust service headway,Cloudy,99
Route_8,T00153,16,High,Adjust service headway,Storm,13
Route_5,T00154,7,Medium,Monitor route conditions,Cloudy,65
Route_11,T00155,6,Medium,Monitor route conditions,Fog,44
Route_2,T00156,19,High,Adjust service headway,Snow,47
Route_15,T00157,15,Medium,Monitor route conditions,Storm,43
Route_6,T00158,14,Medium,Monitor route conditions,Rain,36
Route_8,T00159,23,High,Adjust service headway,Snow,28
Route_5,T00160,2,Low,No operational action required,Snow,98
Route_16,T00161,6,Medium,Monitor route conditions,Clear,83
Route_18,T00162,-2,Low,No operational action required,Fog,84
Route_6,T00163,20,High,Adjust service headway,Clear,33
Route_5,T00164,24,High,Adjust service headway,Clear,58
Route_16,T00165,24,High,Adjust service headway,Cloudy,42
Route_13,T00166,-2,Low,No operational action required,Snow,32
Route_5,T00167,1,Low,No operational action required,Fog,18
Route_13,T00168,7,Medium,Monitor route conditions,Clear,7
Route_17,T00169,6,Medium,Monitor route conditions,Rain,30
Route_18,T00170,-2,Low,No operational action required,Storm,10
Route_8,T00171,11,Medium,Monitor route conditions,Fog,7
Route_13,T00172,3,Low,No operational action required,Cloudy,24
Route_19,T00173,16,High,Adjust service headway,Fog,19
Route_3,T00174,18,High,Adjust service headway,Snow,37
Route_8,T00175,27,Severe,Deploy standby bus,Cloudy,6
Route_2,T00176,19,High,Adjust service headway,Storm,76
Route_8,T00177,15,Medium,Monitor route conditions,Rain,38
Route_13,T00178,0,Low,No operational action required,Clear,73
Route_13,T00179,20,High,Adjust service headway,Fog,71
Route_1,T00180,16,High,Adjust service headway,Cloudy,19
Route_6,T00181,24,High,Adjust service headway,Storm,80
Route_19,T00182,13,Medium,Monitor route conditions,Clear,10
Route_16,T00183,15,Medium,Monitor route conditions,Storm,15
Route_8,T00184,28,Severe,Deploy standby bus,Rain,41
Route_1,T00185,26,Severe,Deploy standby bus,Clear,95
Route_16,T00186,13,Medium,Monitor route conditions,Clear,89
Route_9,T00187,25,High,Adjust service headway,Clear,51
Route_13,T00188,2,Low,No operational action required,Cloudy,36
Route_11,T00189,13,Medium,Monitor route conditions,Clear,51
Route_13,T00190,13,Medium,Monitor route conditions,Storm,8
Route_10,T00191,10,Medium,Monitor route conditions,Cloudy,34
Route_4,T00192,20,High,Adjust service headway,Clear,66
Route_6,T00193,28,Severe,Deploy standby bus,Storm,94
Route_7,T00194,10,Medium,Monitor route conditions,Storm,6
Route_5,T00195,23,High,Adjust service headway,Fog,1
Route_11,T00196,15,Medium,Monitor route conditions,Storm,24
Route_13,T00197,27,Severe,Deploy standby bus,Snow,75
Route_19,T00198,5,Low,No operational action required,Rain,93
Route_10,T00199,13,Medium,Monitor route conditions,Clear,93
Route_10,T00200,15,Medium,Monitor route conditions,Clear,92
Route_11,T00201,0,Low,No operational action required,Clear,40
Route_7,T00202,7,Medium,Monitor route conditions,Storm,74
Route_18,T00203,18,High,Adjust service headway,Storm,51
Route_4,T00204,0,Low,No operational action required,Clear,86
Route_2,T00205,13,Medium,Monitor route conditions,Snow,80
Route_14,T00206,4,Low,No operational action required,Cloudy,76
Route_13,T00207,7,Medium,Monitor route conditions,Cloudy,96
Route_12,T00208,27,Severe,Deploy standby bus,Rain,64
Route_7,T00209,7,Medium,Monitor route conditions,Fog,76
Route_2,T00210,17,High,Adjust service headway,Rain,37
Route_13,T00211,26,Severe,Deploy standby bus,Clear,66
Route_14,T00212,6,Medium,Monitor route conditions,Clear,79
Route_17,T00213,22,High,Adjust service headway,Clear,41
Route_9,T00214,23,High,Adjust service headway,Fog,70
Route_17,T00215,4,Low,No operational action required,Storm,53
Route_8,T00216,4,Low,No operational action required,Fog,66
Route_2,T00217,4,Low,No operational action required,Rain,77
Route_13,T00218,12,Medium,Monitor route conditions,Storm,63
Route_3,T00219,9,Medium,Monitor route conditions,Storm,79
Route_16,T00220,19,High,Adjust service headway,Rain,3
Route_6,T00221,8,Medium,Monitor route conditions,Storm,30
Route_19,T00222,23,High,Adjust service headway,Cloudy,12
Route_7,T00223,18,High,Adjust service headway,Rain,26
Route_10,T00224,28,Severe,Deploy standby bus,Rain,58
Route_9,T00225,23,High,Adjust service headway,Cloudy,64
Route_2,T00226,-2,Low,No operational action required,Fog,63
Route_15,T00227,29,Severe,Deploy standby bus,Fog,24
Route_5,T00228,22,High,Adjust service headway,Fog,36
Route_4,T00229,24,High,Adjust service headway,Storm,74
Route_20,T00230,15,Medium,Monitor route conditions,Cloudy,72
Route_4,T00231,1,Low,No operational action required,Rain,70
Route_18,T00232,29,Severe,Deploy standby bus,Rain,13
Route_4,T00233,16,High,Adjust service headway,Rain,93
Route_17,T00234,26,Severe,Deploy standby bus,Storm,23
Route_12,T00235,4,Low,No operational action required,Storm,66
Route_17,T00236,13,Medium,Monitor route conditions,Snow,47
Route_10,T00237,-3,Low,No operational action required,Fog,90
Route_1,T00238,-1,Low,No operational action required,Snow,64
Route_18,T00239,22,High,Adjust service headway,Snow,37
Route_18,T00240,27,Severe,Deploy standby bus,Storm,89
Route_14,T00241,4,Low,No operational action required,Fog,69
Route_15,T00242,4,Low,No operational action required,Fog,58
Route_12,T00243,24,High,Adjust service headway,Rain,11
Route_4,T00244,0,Low,No operational action required,Storm,53
Route_3,T00245,12,Medium,Monitor route conditions,Fog,50
Route_20,T00246,9,Medium,Monitor route conditions,Snow,37
Route_12,T00247,16,High,Adjust service headway,Cloudy,45
Route_7,T00248,1,Low,No operational action required,Cloudy,98
Route_11,T00249,16,High,Adjust service headway,Storm,9
Route_1,T00250,20,High,Adjust service headway,Rain,8
Route_6,T00251,15,Medium,Monitor route conditions,Rain,86
Route_15,T00252,13,Medium,Monitor route conditions,Fog,93
Route_15,T00253,1,Low,No operational action required,Storm,51
Route_19,T00254,21,High,Adjust service headway,Cloudy,50
Route_11,T00255,14,Medium,Monitor route conditions,Snow,21
Route_2,T00256,4,Low,No operational action required,Fog,72
Route_14,T00257,23,High,Adjust service headway,Snow,82
Route_2,T00258,11,Medium,Monitor route conditions,Fog,71
Route_4,T00259,9,Medium,Monitor route conditions,Clear,67
Route_17,T00260,12,Medium,Monitor route conditions,Snow,4
Route_3,T00261,18,High,Adjust service headway,Storm,82
Route_13,T00262,16,High,Adjust service headway,Snow,81
Route_9,T00263,9,Medium,Monitor route conditions,Snow,28
Route_7,T00264,16,High,Adjust service headway,Fog,82
Route_15,T00265,-2,Low,No operational action required,Cloudy,5
Route_11,T00266,15,Medium,Monitor route conditions,Clear,68
Route_20,T00267,2,Low,No operational action required,Snow,57
Route_2,T00268,10,Medium,Monitor route conditions,Cloudy,42
Route_15,T00269,0,Low,No operational action required,Rain,68
Route_14,T00270,18,High,Adjust service headway,Clear,71
Route_20,T00271,23,High,Adjust service headway,Clear,90
Route_11,T00272,3,Low,No operational action required,Fog,36
Route_3,T00273,-1,Low,No operational action required,Snow,57
Route_17,T00274,29,Severe,Deploy standby bus,Rain,36
Route_12,T00275,-2,Low,No operational action required,Fog,81
Route_15,T00276,12,Medium,Monitor route conditions,Storm,25
Route_16,T00277,21,High,Adjust service headway,Cloudy,41
Route_5,T00278,11,Medium,Monitor route conditions,Cloudy,15
Route_20,T00279,20,High,Adjust service headway,Fog,21
Route_6,T00280,11,Medium,Monitor route conditions,Cloudy,22
Route_19,T00281,27,Severe,Deploy standby bus,Snow,46
Route_5,T00282,10,Medium,Monitor route conditions,Cloudy,66
Route_3,T00283,10,Medium,Monitor route conditions,Snow,2
Route_1,T00284,2,Low,No operational action required,Storm,11
Route_6,T00285,10,Medium,Monitor route conditions,Rain,22
Route_15,T00286,13,Medium,Monitor route conditions,Clear,10
Route_2,T00287,14,Medium,Monitor route conditions,Fog,51
Route_3,T00288,16,High,Adjust service headway,Fog,49
Route_17,T00289,13,Medium,Monitor route conditions,Snow,56
Route_12,T00290,12,Medium,Monitor route conditions,Storm,63
Route_18,T00291,28,Severe,Deploy standby bus,Storm,45
Route_15,T00292,5,Low,No operational action required,Clear,28
Route_12,T00293,23,High,Adjust service headway,Rain,69
Route_16,T00294,29,Severe,Deploy standby bus,Fog,45
Route_8,T00295,6,Medium,Monitor route conditions,Snow,15
Route_14,T00296,13,Medium,Monitor route conditions,Storm,97
Route_17,T00297,13,Medium,Monitor route conditions,Fog,50
Route_8,T00298,14,Medium,Monitor route conditions,Snow,10
Route_15,T00299,19,High,Adjust service headway,Cloudy,10
Route_14,T00300,4,Low,No operational action required,Fog,62
Route_18,T00301,9,Medium,Monitor route conditions,Rain,52
Route_20,T00302,19,High,Adjust service headway,Snow,88
Route_7,T00303,16,High,Adjust service headway,Rain,57
Route_3,T00304,18,High,Adjust service headway,Fog,18
Route_12,T00305,19,High,Adjust service headway,Cloudy,31
Route_3,T00306,-1,Low,No operational action required,Rain,49
Route_20,T00307,29,Severe,Deploy standby bus,Storm,71
Route_14,T00308,13,Medium,Monitor route conditions,Snow,54
Route_15,T00309,15,Medium,Monitor route conditions,Fog,75
Route_14,T00310,26,Severe,Deploy standby bus,Cloudy,40
Route_7,T00311,19,High,Adjust service headway,Storm,98
Route_17,T00312,11,Medium,Monitor route conditions,Fog,69
Route_12,T00313,10,Medium,Monitor route conditions,Cloudy,20
Route_20,T00314,-2,Low,No operational action required,Storm,25
Route_4,T00315,14,Medium,Monitor route conditions,Rain,0
Route_9,T00316,2,Low,No operational action required,Fog,80
Route_6,T00317,28,Severe,Deploy standby bus,Fog,98
Route_16,T00318,17,High,Adjust service headway,Rain,26
Route_2,T00319,24,High,Adjust service headway,Clear,49
Route_8,T00320,23,High,Adjust service headway,Storm,65
Route_11,T00321,-2,Low,No operational action required,Rain,99
Route_13,T00322,29,Severe,Deploy standby bus,Fog,64
Route_17,T00323,12,Medium,Monitor route conditions,Storm,9
Route_8,T00324,18,High,Adjust service headway,Storm,94
Route_18,T00325,9,Medium,Monitor route conditions,Clear,36
Route_18,T00326,-2,Low,No operational action required,Fog,68
Route_14,T00327,10,Medium,Monitor route conditions,Cloudy,40
Route_15,T00328,24,High,Adjust service headway,Clear,45
Route_6,T00329,3,Low,No operational action required,Clear,76
Route_11,T00330,14,Medium,Monitor route conditions,Cloudy,44
Route_13,T00331,0,Low,No operational action required,Cloudy,87
Route_1,T00332,26,Severe,Deploy standby bus,Clear,26
Route_6,T00333,20,High,Adjust service headway,Storm,64
Route_9,T00334,16,High,Adjust service headway,Rain,83
Route_8,T00335,27,Severe,Deploy standby bus,Rain,7
Route_11,T00336,20,High,Adjust service headway,Clear,66
Route_19,T00337,3,Low,No operational action required,Storm,48
Route_9,T00338,22,High,Adjust service headway,Cloudy,95
Route_17,T00339,9,Medium,Monitor route conditions,Snow,88
Route_12,T00340,4,Low,No operational action required,Clear,88
Route_14,T00341,1,Low,No operational action required,Fog,13
Route_15,T00342,9,Medium,Monitor route conditions,Storm,61
Route_16,T00343,25,High,Adjust service headway,Fog,42
Route_20,T00344,16,High,Adjust service headway,Fog,26
Route_1,T00345,10,Medium,Monitor route conditions,Clear,95
Route_10,T00346,28,Severe,Deploy standby bus,Storm,26
Route_8,T00347,23,High,Adjust service headway,Fog,67
Route_18,T00348,21,High,Adjust service headway,Storm,74
Route_1,T00349,0,Low,No operational action required,Rain,47
Route_2,T00350,17,High,Adjust service headway,Snow,66
Route_1,T00351,14,Medium,Monitor route conditions,Fog,24
Route_1,T00352,11,Medium,Monitor route conditions,Fog,63
Route_9,T00353,20,High,Adjust service headway,Storm,23
Route_13,T00354,4,Low,No operational action required,Snow,8
Route_1,T00355,24,High,Adjust service headway,Rain,7
Route_13,T00356,17,High,Adjust service headway,Fog,94
Route_20,T00357,12,Medium,Monitor route conditions,Clear,58
Route_7,T00358,12,Medium,Monitor route conditions,Storm,16
Route_2,T00359,13,Medium,Monitor route conditions,Storm,42
Route_6,T00360,5,Low,No operational action required,Fog,94
Route_7,T00361,25,High,Adjust service headway,Rain,67
Route_14,T00362,14,Medium,Monitor route conditions,Fog,3
Route_18,T00363,8,Medium,Monitor route conditions,Cloudy,7
Route_15,T00364,15,Medium,Monitor route conditions,Fog,41
Route_2,T00365,18,High,Adjust service headway,Snow,48
Route_10,T00366,11,Medium,Monitor route conditions,Snow,5
Route_12,T00367,-3,Low,No operational action required,Cloudy,72
Route_17,T00368,-2,Low,No operational action required,Snow,41
Route_8,T00369,4,Low,No operational action required,Snow,71
Route_11,T00370,18,High,Adjust service headway,Clear,31
Route_3,T00371,21,High,Adjust service headway,Storm,14
Route_6,T00372,-2,Low,No operational action required,Snow,81
Route_9,T00373,5,Low,No operational action required,Storm,86
Route_6,T00374,5,Low,No operational action required,Rain,68
Route_9,T00375,9,Medium,Monitor route conditions,Fog,26
Route_7,T00376,2,Low,No operational action required,Clear,96
Route_9,T00377,26,Severe,Deploy standby bus,Cloudy,65
Route_18,T00378,11,Medium,Monitor route conditions,Rain,58
Route_12,T00379,11,Medium,Monitor route conditions,Clear,27
Route_8,T00380,3,Low,No operational action required,Clear,23
Route_8,T00381,7,Medium,Monitor route conditions,Cloudy,50
Route_18,T00382,-2,Low,No operational action required,Cloudy,20
Route_20,T00383,6,Medium,Monitor route conditions,Storm,30
Route_15,T00384,13,Medium,Monitor route conditions,Fog,74
Route_7,T00385,3,Low,No operational action required,Rain,49
Route_11,T00386,0,Low,No operational action required,Fog,91
Route_20,T00387,27,Severe,Deploy standby bus,Rain,39
Route_16,T00388,21,High,Adjust service headway,Clear,67
Route_4,T00389,9,Medium,Monitor route conditions,Snow,15
Route_6,T00390,14,Medium,Monitor route conditions,Snow,75
Route_3,T00391,17,High,Adjust service headway,Cloudy,85
Route_9,T00392,-3,Low,No operational action required,Cloudy,98
Route_10,T00393,4,Low,No operational action required,Clear,62
Route_14,T00394,17,High,Adjust service headway,Clear,55
Route_11,T00395,17,High,Adjust service headway,Rain,79
Route_18,T00396,23,High,Adjust service headway,Clear,23
Route_12,T00397,15,Medium,Monitor route conditions,Rain,98
Route_12,T00398,19,High,Adjust service headway,Fog,27
Route_13,T00399,1,Low,No operational action required,Cloudy,92
Route_13,T00400,4,Low,No operational action required,Cloudy,84
Route_19,T00401,7,Medium,Monitor route conditions,Snow,88
Route_19,T00402,12,Medium,Monitor route conditions,Snow,30
Route_14,T00403,20,High,Adjust service headway,Cloudy,14
Route_4,T00404,17,High,Adjust service headway,Fog,41
Route_13,T00405,19,High,Adjust service headway,Fog,98
Route_8,T00406,4,Low,No operational action required,Storm,49
Route_19,T00407,3,Low,No operational action required,Rain,85
Route_12,T00408,-2,Low,No operational action required,Snow,4
Route_18,T00409,26,Severe,Deploy standby bus,Rain,47
Route_6,T00410,9,Medium,Monitor route conditions,Snow,12
Route_18,T00411,19,High,Adjust service headway,Storm,31
Route_19,T00412,25,High,Adjust service headway,Cloudy,66
Route_5,T00413,16,High,Adjust service headway,Rain,78
Route_9,T00414,29,Severe,Deploy standby bus,Snow,90
Route_3,T00415,25,High,Adjust service headway,Rain,90
Route_10,T00416,11,Medium,Monitor route conditions,Cloudy,29
Route_19,T00417,19,High,Adjust service headway,Clear,5
Route_3,T00418,-1,Low,No operational action required,Snow,24
Route_15,T00419,25,High,Adjust service headway,Clear,27
Route_1,T00420,4,Low,No operational action required,Storm,61
Route_7,T00421,18,High,Adjust service headway,Fog,21
Route_12,T00422,25,High,Adjust service headway,Rain,67
Route_17,T00423,-2,Low,No operational action required,Snow,14
Route_20,T00424,-3,Low,No operational action required,Rain,25
Route_5,T00425,16,High,Adjust service headway,Storm,62
Route_4,T00426,17,High,Adjust service headway,Storm,17
Route_12,T00427,4,Low,No operational action required,Rain,72
Route_20,T00428,23,High,Adjust service headway,Snow,62
Route_18,T00429,2,Low,No operational action required,Cloudy,61
Route_17,T00430,15,Medium,Monitor route conditions,Cloudy,67
Route_19,T00431,14,Medium,Monitor route conditions,Fog,47
Route_9,T00432,-3,Low,No operational action required,Rain,49
Route_4,T00433,21,High,Adjust service headway,Rain,62
Route_2,T00434,23,High,Adjust service headway,Snow,68
Route_4,T00435,3,Low,No operational action required,Rain,5
Route_2,T00436,25,High,Adjust service headway,Snow,57
Route_15,T00437,27,Severe,Deploy standby bus,Rain,50
Route_2,T00438,15,Medium,Monitor route conditions,Storm,11
Route_4,T00439,2,Low,No operational action required,Clear,94
Route_6,T00440,21,High,Adjust service headway,Rain,46
Route_7,T00441,27,Severe,Deploy standby bus,Clear,8
Route_10,T00442,5,Low,No operational action required,Cloudy,6
Route_19,T00443,16,High,Adjust service headway,Fog,28
Route_19,T00444,6,Medium,Monitor route conditions,Cloudy,77
Route_12,T00445,23,High,Adjust service headway,Rain,50
Route_3,T00446,9,Medium,Monitor route conditions,Snow,83
Route_13,T00447,-2,Low,No operational action required,Cloudy,54
Route_18,T00448,17,High,Adjust service headway,Storm,95
Route_8,T00449,29,Severe,Deploy standby bus,Clear,58
Route_15,T00450,20,High,Adjust service headway,Snow,55
Route_1,T00451,5,Low,No operational action required,Snow,21
Route_3,T00452,-2,Low,No operational action required,Rain,99
Route_8,T00453,26,Severe,Deploy standby bus,Storm,17
Route_4,T00454,18,High,Adjust service headway,Clear,57
Route_16,T00455,7,Medium,Monitor route conditions,Storm,39
Route_10,T00456,13,Medium,Monitor route conditions,Cloudy,88
Route_12,T00457,9,Medium,Monitor route conditions,Rain,30
Route_14,T00458,3,Low,No operational action required,Snow,55
Route_14,T00459,12,Medium,Monitor route conditions,Snow,34
Route_2,T00460,29,Severe,Deploy standby bus,Cloudy,25
Route_5,T00461,-3,Low,No operational action required,Snow,67
Route_5,T00462,7,Medium,Monitor route conditions,Fog,83
Route_6,T00463,2,Low,No operational action required,Rain,33
Route_13,T00464,16,High,Adjust service headway,Cloudy,75
Route_9,T00465,22,High,Adjust service headway,Rain,15
Route_15,T00466,8,Medium,Monitor route conditions,Clear,41
Route_14,T00467,26,Severe,Deploy standby bus,Rain,4
Route_7,T00468,24,High,Adjust service headway,Rain,60
Route_20,T00469,23,High,Adjust service headway,Clear,43
Route_2,T00470,15,Medium,Monitor route conditions,Cloudy,34
Route_7,T00471,1,Low,No operational action required,Rain,90
Route_6,T00472,1,Low,No operational action required,Storm,0
Route_17,T00473,23,High,Adjust service headway,Rain,97
Route_2,T00474,24,High,Adjust service headway,Cloudy,42
Route_3,T00475,22,High,Adjust service headway,Snow,31
Route_5,T00476,23,High,Adjust service headway,Clear,62
Route_5,T00477,17,High,Adjust service headway,Snow,32
Route_1,T00478,-3,Low,No operational action required,Cloudy,94
Route_8,T00479,24,High,Adjust service headway,Fog,76
Route_12,T00480,11,Medium,Monitor route conditions,Snow,65
Route_4,T00481,13,Medium,Monitor route conditions,Rain,29
Route_13,T00482,22,High,Adjust service headway,Rain,9
Route_15,T00483,16,High,Adjust service headway,Clear,22
Route_11,T00484,21,High,Adjust service headway,Rain,96
Route_10,T00485,9,Medium,Monitor route conditions,Storm,38
Route_3,T00486,29,Severe,Deploy standby bus,Storm,44
Route_14,T00487,21,High,Adjust service headway,Snow,28
